Année,Prestation,Nature de coûts,HETS-GE,HEP-BEJUNE,HEP-VD,HEP-VS,HEP-FR
2009,Enseignement de base,Personnel,1845950,11603840,22487075,7449804,7679101
2009,Recherche appliquée et développement,Personnel,174791,1254804,4998217,1163338,1655812
2009,Formation continue,Personnel,137429,3937666,6571043,538089,1681846
2009,Prestations de services,Personnel,133224,1431853,2123045,0,3767684
2010,Enseignement de base,Personnel,1787920,14031903,20368249,7553247,9476562
2010,Recherche appliquée et développement,Personnel,149512,1502861,5581505,967376,1042346
2010,Formation continue,Personnel,146551,3804777,6037990,1809025,1295660
2010,Prestations de services,Personnel,100169,1419544,858899,0,3133284
2011,Enseignement de base,Personnel,1821890,14199474,29579659,8023424,9812603
2011,Recherche appliquée et développement,Personnel,228251,1537543,5949069,968652,1208909
2011,Formation continue,Personnel,133821,4066746,6233707,1877448,1275166
2011,Prestations de services,Personnel,81651,1443942,1683585,0,3260529
2012,Enseignement de base,Personnel,1879788,13825057,29088265,8453706,10184870
2012,Recherche appliquée et développement,Personnel,254828,1551007,4298163,953634,1162974
2012,Formation continue,Personnel,161025,5179649,6031208,1746074,1330662
2012,Prestations de services,Personnel,119333,1457441,1148518,0,3379067
2013,Enseignement de base,Personnel,2051730,13420288,27579774,8342866,9933486
2013,Recherche appliquée et développement,Personnel,218472,1795335,8595311,1014555,1137709
2013,Formation continue,Personnel,193299,4876828,6829192,1886098,1982338
2013,Prestations de services,Personnel,121384,1469451,1051416,0,3172321
2014,Enseignement de base,Personnel,2122376,12717387,33173159,8458984,9638424
2014,Recherche appliquée et développement,Personnel,257229,1914540,10058791,925649,1261784
2014,Formation continue,Personnel,160397,5048905,7206509,1706339,1917978
2014,Prestations de services,Personnel,96074,1429297,1377381,3015743,2972196
2015,Enseignement de base,Personnel,2080177,13244598,35680912,8037192,9517863
2015,Recherche appliquée et développement,Personnel,305237,1898223,10589840,942902,1270509
2015,Formation continue,Personnel,223118,4967718,7218741,1693342,1761967
2015,Prestations de services,Personnel,86708,1349543,1569324,2892061,3040953
2016,Enseignement de base,Personnel,2078340,12929548,40957918,7985699,9823898
2016,Recherche appliquée et développement,Personnel,385855,2012681,10823988,1216698,1163407
2016,Formation continue,Personnel,314951,4968285,7541424,1693019,1915273
2016,Prestations de services,Personnel,301265,1646523,1551425,2657838,1687785
2017,Enseignement de base,Personnel,1977361,13338050,40114348,8059686,9600105
2017,Recherche appliquée et développement,Personnel,275926,2164651,11608392,1465795,1168407
2017,Formation continue,Personnel,341191,3358434,7512039,1674016,1962059
2017,Prestations de services,Personnel,405726,1781042,2567974,2555640,1689654
2018,Enseignement de base,Personnel,1932761,13542045,41950755,8633675,9564308
2018,Recherche appliquée et développement,Personnel,256710,2238965,12667583,1787200,2118586
2018,Formation continue,Personnel,154446,3499772,7656946,1666031,1797675
2018,Prestations de services,Personnel,199456,1744989,2025399,2408620,1707231
2019,Enseignement de base,Personnel,1994090,12553917,43207376,9054637,9650727
2019,Recherche appliquée et développement,Personnel,235679,2176814,12663265,1972288,2079828
2019,Formation continue,Personnel,494971,3874482,8691043,1661413,2018726
2019,Prestations de services,Personnel,520148,2349377,2639705,2676579,1724585
